"Player","Club","Age","Position","Nation","Value","ContractYearsLeft","League","MP_Weighted_Avg","Starts_Weighted_Avg","Min_Weighted_Avg","TotalMins/90_Weighted_Avg","Gls_Weighted_Avg","Ast_Weighted_Avg","Non-PenaltyGoals_Weighted_Avg","PenaltiesScored_Weighted_Avg","PenaltiesAttempted_Weighted_Avg","YellowCards_Weighted_Avg","RedCards_Weighted_Avg","Gls/90_Weighted_Avg","Ast/90_Weighted_Avg","GandA/90_Weighted_Avg","Non-PenaltyGoals/90_Weighted_Avg","GlsandAst-ScoredPenalties/90_Weighted_Avg","xG_Weighted_Avg","Non-PenaltyxG_Weighted_Avg","xA_Weighted_Avg","Non-penaltyxGandxA_Weighted_Avg","xG/90_Weighted_Avg","xA/90_Weighted_Avg","xGandxA/90_Weighted_Avg","Non-PenaltyxG/90_Weighted_Avg","Non-PenaltyxGandxA/90_Weighted_Avg","TotalShots_Weighted_Avg","TotalShotsonTarget_Weighted_Avg","ShotsonTarget%_Weighted_Avg","Shots/90_Weighted_Avg","ShotsonTarget/90_Weighted_Avg","Goals/Shots_Weighted_Avg","Goals/ShotsonTarget_Weighted_Avg","AvgShotDistance-yds_Weighted_Avg","FreekickShots_Weighted_Avg","Non-PenaltyxG/Shots_Weighted_Avg","GoalsScoredminusxG_Weighted_Avg","Non-PenaltyGoalsScoredminusNon-PenaltyxG_Weighted_Avg","Shot-CreatingActions_Weighted_Avg","Shot-CreatingActions/90_Weighted_Avg","PassesLeadingtoShotAttempt_Weighted_Avg","Set-PieceLeadingtoShotAttempt_Weighted_Avg","DribblesLeadingtoShotAttempt_Weighted_Avg","ShotsLeadingtoShotAttempt_Weighted_Avg","FoulsDrawnLeadingtoShotAttempt_Weighted_Avg","DefensiveActionsLeadingtoShotAttempt_Weighted_Avg","GoalCreatingActions_Weighted_Avg","GoalCreatingActions/90_Weighted_Avg","PassesLeadingtoGoals_Weighted_Avg","Set-PieceLeadingtoGoals_Weighted_Avg","DribblesLeadingtoGoals_Weighted_Avg","ShotsLeadingtoGoals_Weighted_Avg","FoulsDrawnLeadingtoGoals_Weighted_Avg","DefensiveActionsLeadingtoGoals_Weighted_Avg","Touches_Weighted_Avg","TouchesinDefensivePenaltyBox_Weighted_Avg","TouchesinDefensive3rd_Weighted_Avg","TouchesinMidfield3rd_Weighted_Avg","TouchesinAttacking3rd_Weighted_Avg","TouchesinAttackingPenaltyBox_Weighted_Avg","TouchesinOpen-play_Weighted_Avg","TotalSuccessfulDribbles_Weighted_Avg","TotalAttemptedDribbles_Weighted_Avg","DribbleSuccess%_Weighted_Avg","Totalno.ofPlayersDribblesPast_Weighted_Avg","TotalNutmegs_Weighted_Avg","TotalCarries_Weighted_Avg","TotalDistanceCarriedtheBall_Weighted_Avg","TotalDistanceCarriedtheBallinForwardDirection_Weighted_Avg","TotalCarriesinForwardDirection_Weighted_Avg","CarriesintoFinalThird_Weighted_Avg","CarriesintoAttackingPenaltyBox_Weighted_Avg","TotalFailedAttemptsatControllingBall_Weighted_Avg","NumberofTimesTackledwhenDribbling_Weighted_Avg","NumberofTimesPlayerwasPassTarget_Weighted_Avg","NumberofTimesReceivedPass_Weighted_Avg","%ofTimesSuccessfullyReceivedPass_Weighted_Avg","ProgressivePassesReceived_Weighted_Avg","PassesCompleted-Allpass-types_Weighted_Avg","PassesAttempted-Allpass-types_Weighted_Avg","PassCompletion%-Allpass-types_Weighted_Avg","TotalDistanceofCompletedPasses-AllPass-types_Weighted_Avg","TotalDistanceofCompletedProgressivePasses-AllPass-types_Weighted_Avg","PassesCompleted-ShortPasses_Weighted_Avg","PassesAttempted-ShortPasses_Weighted_Avg","PassCompletion%-ShortPasses_Weighted_Avg","PassesCompleted-MediumPasses_Weighted_Avg","PassesAttempted-MediumPasses_Weighted_Avg","PassCompletion%-MediumPasses_Weighted_Avg","PassesCompleted-LongPasses_Weighted_Avg","PassesAttempted-LongPasses_Weighted_Avg","PassCompletion%-LongPasses_Weighted_Avg","TotalAssists_Weighted_Avg","xGAssisted_Weighted_Avg","AssistminusxGAssisted_Weighted_Avg","CompletedpassesthatenterFinal3rd_Weighted_Avg","CompletedpassesthatenterPenaltyBox_Weighted_Avg","CompletedCrossesthatenterPenaltyBox_Weighted_Avg","TotalCompletedProgressivePasses_Weighted_Avg","TotalNumberofPlayersTackled_Weighted_Avg","TotalTacklesWon_Weighted_Avg","TacklesinDefensive3rd_Weighted_Avg","TacklesinMidfield3rd_Weighted_Avg","TacklesinAttacking3rd_Weighted_Avg","NumberofDribblersTackled_Weighted_Avg","TimesDribbledPastandTotalTackles_Weighted_Avg","%ofDribblersTackled_Weighted_Avg","NumberofTimesDribbledPast_Weighted_Avg","NumberofPressingActions_Weighted_Avg","TimesSquadgainedPossessionwithin5secondsofPressingActions_Weighted_Avg","SuccessfulPressure%_Weighted_Avg","NumberofPressesinDefensiveThird_Weighted_Avg","NumberofPressesinMidfieldThird_Weighted_Avg","NumberofPressesinAttackingThird_Weighted_Avg","TotalDefensiveBlocks_Weighted_Avg","TotalShotsBlocked_Weighted_Avg","GoalSavingBlocks_Weighted_Avg","TimesblockedaPass_Weighted_Avg","TotalInterceptions_Weighted_Avg","TotalPlayersTackledandTotalInterceptions_Weighted_Avg","TotalClearances_Weighted_Avg","MistakesleadingtoOpponentShots_Weighted_Avg","2ndYellowCards_Weighted_Avg","FoulsCommitted_Weighted_Avg","FoulsDrawn_Weighted_Avg","Offsides_Weighted_Avg","Crosses_Weighted_Avg","Interceptions_Weighted_Avg","PenaltyKicksWon_Weighted_Avg","PenaltiesConceded_Weighted_Avg","OwnGoals_Weighted_Avg","TotalLooseBallsRecovered_Weighted_Avg","AerialDuelWon_Weighted_Avg","AerialDuelLost_Weighted_Avg","%AerialDuelsWon_Weighted_Avg","""Squad(20/21)"""
"Aaron Connolly","Brighton &amp; Hove Albion",21,"attack","Ireland",6300000,3,"Premier League",19.3333333333333,10.6666666666667,946.666666666667,10.5333333333333,2.33333333333333,1,2.33333333333333,0,0,0,0,0.223333333333333,0.0966666666666667,0.323333333333333,0.223333333333333,0.323333333333333,3.4,3.4,0.233333333333333,3.63333333333333,0.343333333333333,0.02,0.363333333333333,0.343333333333333,0.363333333333333,28,9.66666666666667,34.6,2.65333333333333,0.916666666666667,0.0866666666666667,0.243333333333333,14.4333333333333,0,0.126666666666667,-1.06666666666667,-1.06666666666667,16.3333333333333,1.51,7,0,3,1,4.33333333333333,1,2.33333333333333,0.193333333333333,1,0,0.333333333333333,0.333333333333333,0.666666666666667,0,250.333333333333,1.33333333333333,16.3333333333333,105.666666666667,143.666666666667,45.6666666666667,238.666666666667,7.33333333333333,12,65.8333333333333,7.33333333333333,0.333333333333333,158.666666666667,837.666666666667,477,24.3333333333333,8.33333333333333,6.66666666666667,33.3333333333333,21.3333333333333,416.333333333333,173.666666666667,41.3666666666667,75.6666666666667,94.6666666666667,121.666666666667,77.9,1344.33333333333,190.666666666667,55.3333333333333,68,81.1333333333333,27.6666666666667,33,84.3,5,7,74.5333333333333,1,0.233333333333333,0.766666666666667,3.33333333333333,1.33333333333333,0,5.33333333333333,8.66666666666667,6,1.66666666666667,4.33333333333333,2.66666666666667,1.66666666666667,7.33333333333333,21.6666666666667,5.66666666666667,160.666666666667,49.6666666666667,31.3666666666667,9.33333333333333,70,81.3333333333333,8.66666666666667,1,0,7.66666666666667,1.66666666666667,10.3333333333333,1,0,0,8.66666666666667,23.3333333333333,10,3.66666666666667,1.66666666666667,1.33333333333333,0,0,36.6666666666667,12,36,25.4,"Squad(20/21)"
"Aaron Cresswell","West Ham United",31,"Defender","England",4500000,2,"Premier League",32.35,31.95,2812,31.24,0.85,4.45,0.85,0,0,4.1,0,0.028,0.133,0.161,0.028,0.161,0.93,0.93,3.815,4.795,0.0315,0.1155,0.142,0.0315,0.142,17.75,3.85,20.36,0.5725,0.1155,0.0475,0.196470588235294,23.66,8.35,0.0525,-0.08,-0.08,70.05,2.173,38.6,25,1.1,2.9,2.3,0.15,8.7,0.26,3.35,3.6,0.25,1,0.5,0,2041.15,142.2,632.9,955.7,546.65,22.6,1652.1,8.55,20.15,43.395,10.5,1.65,1117.55,4673,2305.75,94.55,37.8,3.65,9.2,11.6,1204.4,1137.4,94.02,35.3,1329.45,1782.05,74.825,25245.45,11914.5,606.2,675.2,89.85,519.5,632.1,82.045,186.65,403.65,45.635,4.45,3.815,0.635,122.95,21.85,14.4,110.1,35.8,18.4,17.35,15.1,3.35,16.5,39.15,42.52,22.65,271.95,84.7,30.785,144.95,98.65,28.35,52.45,12.3,0,40.15,29.8,65.6,94.3,0.65,0,12.8,16.9,0.95,79.2,29.8,0,0,0,280.3,42.05,31.3,57.625,"Squad(20/21)"
"Aaron Escandell","Granada CF",25,"Goalkeeper","Spain",9e+05,2,"La Liga",4.33333333333333,4.33333333333333,390,4.33333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.223333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,162.333333333333,132,160.666666666667,1.66666666666667,0,0,111.666666666667,0,0,0,0,0,68.6666666666667,431.666666666667,309,0,0,0,0,0,51,51,100,0,75,143.333333333333,52.7333333333333,3095.66666666667,2327,8,8,100,24.3333333333333,25,97.1333333333333,42.6666666666667,110.333333333333,39.0333333333333,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,66.6666666666667,1,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,30.6666666666667,0,0,0,"Squad(20/21)"
"Aaron Hickey","Bologna FC 1909",19,"Defender","Scotland",4500000,3,"Serie A",11,10,758,8.4,0,0,0,0,0,3,1,0,0,0,0,0,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,3,1,33.3,0.36,0.12,0,0,28.1,1,0.03,-0.1,-0.1,7,0.83,6,1,0,0,0,0,1,0.12,1,0,0,0,0,0,505,30,160,247,139,10,427,8,15,53.3,10,0,322,1931,952,34,18,2,10,13,301,280,93,16,339,404,83.9,6100,1977,143,157,91.1,160,187,85.6,32,48,66.7,0,0.3,-0.3,24,4,1,24,13,6,10,2,1,6,17,35.3,11,94,33,35.1,45,34,15,17,2,0,15,12,25,15,0,0,12,15,0,6,12,0,0,0,79,3,4,42.9,"Squad(20/21)"
"Aaron Lennon","Burnley FC",34,"attack","England",990000,1,"Premier League",18.6,10.6,994.7,11.0466666666667,0.3,0.7,0.3,0,0,2.7,0,0.021,0.0254444444444444,0.0494444444444444,0.021,0.0494444444444444,0.39,0.39,0.61,1,0.017,0.0262222222222222,0.0462222222222222,0.017,0.0462222222222222,4.5,1.6,22.1428571428571,0.211111111111111,0.0561111111111111,0.075,0.3,16.28,0,0.0768571428571429,-0.09,-0.09,15.7,1.10955555555556,10.6,0,1,1.2,2.9,0,2.2,0.126555555555556,1.6,0,0,0.4,0.2,0,375.1,16.3,69.9,166.5,159.8,20.9,369.4,9.5,19.3,58.8144444444444,9.7,0.9,245.3,1236.6,691,39.7,6.7,7.3,10.1,14.5,315.4,228.1,72.9453666146646,35.3,187.1,260.7,71.5257480314961,2925.2,722.6,106.1,130.7,81.7667704280156,64.5,80,82.0110559006211,12.5,28.1,42.0117021276596,0.7,0.61,0.09,9.4,5.7,2.5,17.8,24,13.6,9.5,11,3.5,9,22.7,47.340243902439,13.7,240.7,54.6,21.7153846153846,72.2,110.6,57.9,22.6,2.5,0,20.1,11,35,9.3,0,0,13.3,12.3,0.2,15.6,11,0.4,0.3,0,65,4.4,12.4,22.88,"Squad(20/21)"
"Aaron Martin","1.FSV Mainz 05",24,"Defender","Spain",4050000,2,"Bundesliga",25.65,23.15,2062.3,22.9161111111111,0,1.95,0,0,0,2.05,0,0,0.0301666666666667,0.0301666666666667,0,0.0301666666666667,0.29,0.29,2.8,3.065,0.00761111111111111,0.0868888888888889,0.095,0.00761111111111111,0.095,8.65,2.05,23.2178571428571,0.242388888888889,0.0685555555555556,0,0,23.405,0.55,0.0322857142857143,-0.29,-0.29,40.9,1.3335,28.45,9.45,0.7,0.65,1,0.65,3.65,0.0936666666666667,2.8,0.3,0.15,0,0.4,0,1343.6,67.6,374.9,632.15,418.25,19.2,1087,25.7,38.35,66.173064516129,26.9,0.4,797.9,4140.5,2273.55,119.2,39.05,4.55,12.85,14.55,845.35,748.4,88.223321299639,50.5,867.7,1141.7,76.1327400581959,15102.35,5397.5,419.15,468.05,89.7853512880562,345.15,435.9,79.1561764705882,89.4,198.6,45.7403246753247,1.95,2.8,-0.85,46.9,20,12.15,63,35.35,16.05,20.2,12.75,2.4,13.95,38.2,36.5,24.25,261.25,70.6,26.9711111111111,118.5,111.65,31.1,37.65,4.75,0,32.9,20.6,55.95,49.3,0.3,0,25.75,16.7,2.9,69.6,20.6,0.15,0,0,170.9,15.85,26.9,36.9282608695652,"Squad(20/21)"
"Aaron Ramsdale","Arsenal FC",23,"Goalkeeper","England",10800000,4,"Premier League",37.6666666666667,37.6666666666667,3390,37.6666666666667,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0.01,0.01,0,0.01,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33333333333333,0.166666666666667,5,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1262.33333333333,1120,1250.66666666667,12,1.33333333333333,1.33333333333333,850,1.33333333333333,1.33333333333333,100,1.33333333333333,0,526.666666666667,3175.66666666667,1865.33333333333,0,0,0,0.666666666666667,0,420,416,99.0666666666667,0,589.333333333333,1135.33333333333,51.9666666666667,23895.3333333333,17840,76.3333333333333,78,97.4333333333333,194.333333333333,197.666666666667,98.2333333333333,316.666666666667,855.666666666667,36.9333333333333,0.333333333333333,0.166666666666667,0.166666666666667,41.3333333333333,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.666666666666667,8,2.33333333333333,29.1666666666667,7.33333333333333,0,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0,0,0.666666666666667,2.66666666666667,0,0.666666666666667,4.33333333333333,0,0,0,0,0.666666666666667,0,188,0,0,0,"Squad(20/21)"
"Aaron Ramsey","Juventus FC",30,"midfield","Wales",12600000,2,"Serie A",23.6,13.45,1191.5,13.245,3.05,3.95,3.05,0,0,1.5,0,0.2245,0.288,0.51,0.2245,0.51,4.275,4.275,3.025,7.31,0.3255,0.2305,0.557,0.3255,0.557,28.85,11.7,40.355,2.1405,0.8615,0.1035,0.257,15.265,0,0.161,-1.225,-1.225,52.45,4.0715,43.5,2.5,2,1.05,2.65,0.75,7.3,0.54,5.7,0,0.15,0,0.95,0.5,954.4,16,125.55,497.6,393.35,73.5,933.6,14.3,22.35,63.7,14.85,0.6,694.4,3452.6,1638,85.65,26.9,8.35,28.8,19.3,906.75,766,84.54,125,677.75,795.95,85.25,11253.25,2563.4,342.55,383.35,89.38,254.9,290.85,87.835,62.7,86.85,71.87,3.95,3.025,0.925,60.95,18.65,3.15,59.7,28.15,18.6,8.8,14.25,5.1,7,27.5,24.955,20.5,262.5,77.7,29.995,55.6,127.15,79.75,15.65,2.3,0,13.35,9.25,37.4,7.8,0.5,0,20.95,19.8,2.75,17.05,9.25,0.7,0,0,93.9,10.05,16.55,39.02,"Squad(20/21)"
"Aaron Wan-Bissaka","Manchester United",23,"Defender","England",3.6e+07,3,"Premier League",31.7,31.45,2830.3,31.445,1,3.45,1,0,0,4.2,0.15,0.03,0.1035,0.1335,0.03,0.1335,0.735,0.735,2.25,2.96,0.024,0.0685,0.094,0.024,0.094,7.6,2.25,30.8611111111111,0.224,0.0675,0.138888888888889,0.333333333333333,16.2666666666667,0,0.0972222222222222,0.265,0.265,46.95,1.4575,40.25,1.45,3.1,0.65,0,1.5,6.55,0.195,5.85,0.15,0.4,0.15,0,0,2253.6,118.35,732.15,1006.2,655.6,37.15,1959.65,46.6,72.05,64.37,49.2,2.35,1346.35,6927.65,4055,195.9,71.4,7.95,20.05,29.95,1382.75,1280.7,92.365,66.35,1498.65,1804.95,81.655,22510.75,8570.55,862.8,946.4,90.435,539.75,642.1,82.645,65.8,129.1,49.895,3.45,2.25,1.2,84.15,25.8,11.3,118.3,106.8,53.5,67.6,32.4,6.8,27.65,46.95,57.59,19.3,478.25,142.65,30.735,251.05,164.15,63.05,101.15,15.7,0,85.45,60.2,167,110.2,0.15,0,24.65,14.45,1.2,54,60.2,0,0.4,0,257.7,35.65,29.7,53.765,"Squad(20/21)"
"Abdou Diallo","Paris Saint-Germain",25,"Defender","Senegal",22500000,3,"Ligue 1",21.9,18.75,1643.6,18.265,0.35,1,0.35,0,0,3.15,1.15,0.013,0.0575,0.0705,0.013,0.0705,0.7,0.7,0.46,1.12,0.0385,0.025,0.0585,0.0385,0.0585,5.6,1.25,18.745,0.2995,0.065,0.036,0.233,8.995,0,0.1135,-0.35,-0.35,10.35,0.55,8.3,0.25,0.3,0.75,0.15,0.6,1.45,0.0745,1.3,0,0,0.15,0,0,1442.8,125.7,583,834.35,134.65,10.45,1362.25,23.4,35.2,67.175,25.9,0.7,1044.75,5342.65,3171.65,94.45,21.8,0.65,10.45,8.05,1070.95,1042.05,97.325,10.45,1150.55,1273.8,90.575,22445.5,8110.45,440.85,466.5,94.325,542.05,576.7,94.09,156.55,207.45,77.415,1,0.46,0.54,83.9,7.55,2.85,83.8,27.6,17.65,15.75,10.15,1.7,8.75,16.85,51.43,8.1,172.3,60.75,34.52,90.15,71.55,10.6,28.9,9,0.15,19.9,16.9,44.5,59,1.45,0.5,23.55,9.1,1.15,11.2,16.9,0,0.1,0,170.55,28.9,15.9,62.895,"Squad(20/21)"
